Project	Decile	Estimate	Std. Error
UKBMVPtoR4	1	0	1E-10
UKBMVPtoR4	2	0.1544	0.0213
UKBMVPtoR4	3	0.2365	0.0211
UKBMVPtoR4	4	0.3114	0.021
UKBMVPtoR4	5	0.5021	0.0209
MVPtoUKB	1	0	1E-10
MVPtoUKB	2	0.1557	0.0171
MVPtoUKB	3	0.2201	0.017
MVPtoUKB	4	0.3188	0.0169
MVPtoUKB	5	0.4434	0.0167
UKBtoR3	1	0	1E-10
UKBtoR3	2	0.1352	0.0119
UKBtoR3	3	0.1957	0.0118
UKBtoR3	4	0.2682	0.0118
UKBtoR3	5	0.3788	0.0118
UKBMVPtoHNA	1	0	1E-10
UKBMVPtoHNA	2	0.1332	0.0373
UKBMVPtoHNA	3	0.2030	0.0373
UKBMVPtoHNA	4	0.3189	0.0372
UKBMVPtoHNA	5	0.3658	0.0376
UKBMVPtoAAM	1	0	1E-10
UKBMVPtoAAM	2	0.0864	0.0273
UKBMVPtoAAM	3	0.1214	0.0272
UKBMVPtoAAM	4	0.1658	0.0270
UKBMVPtoAAM	5	0.2105	0.0270
